ProductCode|ProductName|ProductAlternateName|ProductType|ProductSubType|MarketCode|ProductFamily|ProductBrand|ProductCategory|ProductStatus|ProductDesc|ProductLevel|ProductStartDate|ProductEndDate|BatchRefreshDate|BatchID|FileDate|IsActive
A1314-C0-A31|1 MIL mLLDPE-LDPE COEX, HSL|1mil PE Print (337B0-C0)|Rollstock||APAC||||Active|mLLDPE-LDPE/mLLDPE-LDPE/mLLDPE-LDPE||2016-13-13|9999-12-31|2020-03-07 03:27:30.8550|20200219060224.IF005.PD01D.dat|20200219060224|Y
A1314-C0-A31|1 MIL mLLDPE-LDPE COEX, HSL|1mil PE Print (337B0-C0)|Rollstock||APAC||||Active|||2016-01-01|9999-12-31|2019-11-09 10:34:37.0210|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
A1339-I0-A10|2.50_.912M LD.75 TAN HS||Rollstocks||APAC||||Active|mLLDPE-LDPE-Tan||2016-01-01|9999-12-31|2020-03-07 03:27:31.0080|20200219060224.IF005.PD01D.dat|20200219060224|Y
A1339-I0-A10|2.50_.912M LD.75 TAN HS||Rollstock||APAC||||Active|||2016-01-01|9999-12-31|2019-11-09 10:34:37.0560|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
A1405-G0-A30|2 mil Clear HDE/HDPE/Ionomer|Ink/2mil PE Print (C9108-G0)|Rollstock||APAC||||Inactive|Ionomer / HDPE / HDPE||2016-01-01|9999-12-31|2020-03-07 03:27:31.0940|20200219060224.IF005.PD01D.dat|20200219060224|Y
A1450-I0-SFA|SLITTER/REWINDER - PRINTED Print (MULTI-STEP)||Rollstock||APAC||||Active|(OPV) INK/2.50 mil White mLLDPE-LLDPE-mLLDPE COEX||2016-01-01|9999-12-31|2020-03-07 03:27:31.1470|20200219060224.IF005.PD01D.dat|20200219060224|Y
A1450-I0-SFA|SLITTER/REWINDER - PRINTED Print (MULTI-STEP)||Rollstock||APAC||||Active|||2016-01-01|9999-12-31|2019-11-09 10:34:37.1450|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
A1470-E0-A10|1.5 mil BLUE mLLDPE-LDPE, HSL||Rollstock||APAC||||Active|Blue mLLDPE-LDPE||2016-01-01|9999-12-31|2020-03-07 03:27:31.1600|20200219060224.IF005.PD01D.dat|20200219060224|Y
A3048-F0-A30|EZ-Peel (800 g/in); HDPE; Ionomer Seal Layer|2.25mil HDPE-Ionomer EZ Peel®|Rollstock||APAC||||Active|HDPE / HDPE / Ionomer||2016-01-01|9999-12-31|2020-03-07 03:27:31.3100|20200219060224.IF005.PD01D.dat|20200219060224|Y
A4314-J0-A71|EZ-Peel (800 g/in); Ionomer Seal Layer (treated)||Rollstock||APAC||||Active|+VLDPE-LLDPE / EMAA-PB / Ionomer-EMAA Seal Layer, Corona [ ]||2016-01-01|9999-12-31|2020-03-07 03:27:31.3100|20200219060224.IF005.PD01D.dat|20200219060224|Y
A6670-M0-RFA|Collapsed bubble,EVOH; PA; m LLDPE seal layer|Ink/3.5mil PE-mPE-Nylon-EVOH-PE Liquiflex® Advance Print|Rollstock||APAC||||Active|OL / ink / corona (1S) LLDPE-mLLDPE / Tie / PA / EVOH / PA / Tie / LLDPE-mLLDPE seal layer||2016-01-01|9999-12-31|2020-03-07 03:27:31.2470|20200219060224.IF005.PD01D.dat|20200219060224|Y
A6670-M0-RFA|Collapsed bubble,EVOH; PA; m LLDPE seal layer|Ink/3.5mil PE-mPE-Nylon-EVOH-PE Liquiflex® Advance Print|Rollstock||APAC||||Inactive|OL / ink / corona (1S) LLDPE-mLLDPE / Tie / PA / EVOH / PA / Tie / LLDPE-mLLDPE seal layer||2016-01-01|9999-12-31|2019-11-09 10:34:37.2690|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
E00-640BZ-E0|1.50_5755CHEV 1001x72 AB_CL LS|1.5mil PE Print (640BZ-E0)|Rollstock||APAC||||Active|LDPE||2016-01-01|9999-12-31|2020-03-07 03:27:31.2550|20200219060224.IF005.PD01D.dat|20200219060224|Y
E00-C9507-I0|2.50_.912M LD.75 / LLB LD.75 / .912M LD.75 SL_CL FFS HS|2.5mil PE Print (C9507-I0)|Rollstock||APAC||||Active|mLLDPE-LDPE/LLDPE(B)-LDPE/mLLDPE-LDPE HSL||2016-01-01|9999-12-31|2020-03-07 03:27:31.2600|20200219060224.IF005.PD01D.dat|20200219060224|Y
MB00-A176-CC|7.50mil Clear HDPE||Rollstock||APAC||||Inactive|7.50mil Clear HDPE||2016-01-01|9999-12-31|2020-03-07 03:27:31.1490|20200219060224.IF005.PD01D.dat|20200219060224|Y
MB00-A176-CC|7.50mil Clear HDPE||Rollstock||APAC||||Active|||2016-01-01|9999-12-31|2019-11-09 10:34:37.4870|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
MC0K-A186-K|Ink / White PE||Rollstock||APAC||||Inactive|Ink / 3.00mil White PE||2016-01-01|9999-12-31|2020-03-07 03:27:31.3640|20200219060224.IF005.PD01D.dat|20200219060224|Y
F3052-1E-GNA|12.05 mil White; Semi-rigid; White HIPS/HDPE-EVOH||Rollstock||APAC||||Active|8.95 mil White HIPS Blend / 3.1 mil HDPE-EVOH coex||2016-01-01|9999-12-31|2020-03-07 03:27:31.3140|20200219060224.IF005.PD01D.dat|20200219060224|Y
F3052-1E-GNA|12.05 mil White; Semi-rigid; White HIPS/HDPE-EVOH||Rollstock||APAC||||Active|||2016-01-01|9999-12-31|2019-11-09 10:34:37.3190|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
F7002-1R-KNA|Semi-Rigid; EZ-Peel (2300 g/in); APET/EVOH-EVA sealant||Rollstock||APAC||||Active|17.0 mil APET // 1.5 mil EVOH- EVA peelable sealant (4532-E)||2016-01-01|9999-12-31|2020-03-07 03:27:31.3160|20200219060224.IF005.PD01D.dat|20200219060224|Y
L1802-G0-GNA|Ext Ctg; PA/Ionomer Sealant|1mil PA/2mil Ionomer Print|Rollstock||APAC||||Active|Slip Coat / 1.0 mil PA / 2.0 mil Ionomer Sealant||2016-01-01|9999-12-31|2020-03-07 03:27:31.3500|20200219060224.IF005.PD01D.dat|20200219060224|Y
L2506-K0-KFA|PVdC OPET/Ink/Ionomer EZ PEEL (1050 g/in)|50ga PVdC-OPET/Ink/Adh/3mil Ionomer EZ Peel®|Rollstock||APAC||||Active|50 ga PVdC OPET / ink / adh / 2.75 mil Ionomer EZ PEEL sealant||2016-01-01|9999-12-31|2020-03-07 03:27:31.4010|20200219060224.IF005.PD01D.dat|20200219060224|Y
L3217-E0-IFA|OPP Coex / Ink / AC / White LL-LDPE / HDPE coex (BHT)||Rollstock||APAC||||Active|70ga OPP Coex / Ink / AC / 7# White LLDPE-LDPE / 1.50 mil HDPE Coex BHT||2016-01-01|9999-12-31|2020-03-07 03:27:31.5030|20200219060224.IF005.PD01D.dat|20200219060224|Y
L3222-G0-MFA|Adh Lam: Coex OPP / Ink / Adh / White LLDPE-mLLDPE||Rollstock||APAC||||Active|80ga Coex OPP / Ink / Adh / 2.00mil White LLDPE-mLLDPE Coex||2016-01-01|9999-12-31|2020-03-07 03:27:31.1620|20200219060224.IF005.PD01D.dat|20200219060224|Y
L3222-G0-MFA|Adh Lam: Coex OPP / Ink / Adh / White LLDPE-mLLDPE||Rollstock||APAC||||Active|||2016-01-01|9999-12-31|2019-11-09 10:34:37.3830|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
L5188-C0-JRA|Ext Lam; Paper/Foil/Ionomer sealant||Rollstock||APAC||||Active|OL / ink / 25# paper / LDPE / 28.5 ga Foil / Ionomer||2016-01-01|9999-12-31|2020-03-07 03:27:31.2910|20200219060224.IF005.PD01D.dat|20200219060224|Y
L7143-K0-KNA|Adh Lam; EZ-Peel (1200); BOPA/EVOH-EVA|60ga BON/Adh/3mil EVOH-EVA EZ Peel®|Rollstock||APAC||||Active|60 ga BOPA / adh / 3 mil EZ-Peel EVOH-EVA sealant (4536)||2016-01-01|9999-12-31|2020-03-07 03:27:31.5070|20200219060224.IF005.PD01D.dat|20200219060224|Y
L9194-J0-LNA|Adh Lam; Peel-Reseal; OPET / Met OPET / PET Peel-Reseal Sealant||Rollstock||APAC||||Active|48 ga OPET // 48 ga Met OPET // 2.75 mil PET Peel-Reseal Sealant (A3029-J)||2016-01-01|9999-12-31|2020-03-07 03:27:31.5540|20200219060224.IF005.PD01D.dat|20200219060224|Y
L9194-J0-LNA|Adh Lam; Peel-Reseal; OPET / Met OPET / PET Peel-Reseal Sealant||Rollstock||APAC||||Inactive|48 ga OPET // 48 ga Met OPET // 2.75 mil PET Peel-Reseal Sealant (A3029-J)||2016-01-01|9999-12-31|2019-11-09 10:34:37.4720|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
MA30-A283-O0|4.00 mil Green HDPE|4mil Green HDPE Print|Rollstock||APAC||||Inactive|HDPE / Green HDPE / HDPE (No Slip)||2016-01-01|9999-12-31|2020-03-07 03:27:31.1230|20200219060224.IF005.PD01D.dat|20200219060224|Y
MC0K-A186-K|Ink / White PE||Rollstock||APAC||||Active|Ink / 3.00mil White PE||2016-01-01|9999-12-31|2019-11-09 10:34:37.4910|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
S4937-H0-WF1|CLEAR-TITE 4937-H [Cream] Bags||Pouch/Bag-Shrink||APAC||||Active|||2016-01-01|9999-12-31|2019-11-09 10:34:37.5310|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
VU0-889C1-D0|REWINDER/V-FOLD - PLAIN Print||Rollstock||APAC||||Active|LDPE-LLDPE-Antistat||2016-01-01|9999-12-31|2020-03-07 03:27:31.7080|20200219060224.IF005.PD01D.dat|20200219060224|Y
MA30-A283-O0|4.00 mil Green HDPE|4mil Green HDPE Print|Rollstock||APAC||||Active|HDPE / Green HDPE / HDPE (No Slip)||2016-01-01|9999-12-31|2019-11-09 10:34:37.4750|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
MD01-5301-HM|OL / OPS / Ink / HM|300ga OPS/Ink/Hot Melt Print|Rollstock||APAC||||Inactive|OL / 300ga OPS / Ink / 6.8# Hot Melt||2016-01-01|9999-12-31|2020-03-07 03:27:31.4300|20200219060224.IF005.PD01D.dat|20200219060224|Y
MK10-A740-K|PCH: OPET / Ink / Adh / White HDPE Coex||Pouch/Bag-NonShrink||APAC||||Inactive|48ga OPET / Ink / Adh / 3.00 mil White HDPE Coex||2016-01-01|9999-12-31|2020-03-07 03:27:31.5570|20200219060224.IF005.PD01D.dat|20200219060224|Y
MK10-A740-K|PCH: OPET / Ink / Adh / White HDPE Coex||Pouch/Bag-NonShrink||APAC||||Active|||2016-01-01|9999-12-31|2019-11-09 10:34:37.5080|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
MK10-A799-G|Pouch: OPET / Ink / Adh /  LLDPE-MDPE Coex||Pouch/Bag-NonShrink||APAC||||Inactive|Pouch: 48ga OPET / Ink / Adh /2.0mil LLDPE Coex (low migration)||2016-01-01|9999-12-31|2020-03-07 03:27:31.5580|20200219060224.IF005.PD01D.dat|20200219060224|Y
MK10-A799-G|Pouch: OPET / Ink / Adh /  LLDPE-MDPE Coex||Pouch/Bag-NonShrink||APAC||||Active|Pouch: 48ga OPET / Ink / Adh /2.0mil LLDPE Coex (low migration)||2016-01-01|9999-12-31|2019-11-09 10:34:37.5080|20190618010631.IF005.FULL.PD01D.dat|20190618010631|N
MU00-R214|SW 3.0 mil A120  PE|3mil PE Bag|Pouch/Bag-NonShrink||APAC||||Inactive|3.00mil PE (A120)||2016-01-01|9999-12-31|2020-03-07 03:27:31.6000|20200219060224.IF005.PD01D.dat|20200219060224|Y
P19-1170|A5119alt; Extra DSM Panel; EVOH, HDPE; SBS Seal layer; Stadtmueller||Rollstock||APAC||||Inactive|EVA-LLDPE / Tie / HDPE / Tie / EVOH / EVOH / Tie / HDPE / EVA // Collapsed Bubble||2016-01-01|9999-12-31|2020-03-07 03:27:31.1510|20200219060224.IF005.PD01D.dat|20200219060224|Y
