ProductConfigurationCode|ProductCode|ProductType|CustomerCode|MarketCode|ProductConfigurationStartDate|ProductConfigurationEndDate|ProductGroup1|ProductGroup2|BatchDate|BatchID|FileDate|IsActive
08-081587|A5032-S0-C90||0122836|APAC|2017-01-05|2018-12-31||HAD|2020-01-31T09:31:57.324Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
08-081587|A5032-S0-C90||0122836|APAC|2019-01-15|2019-07-14||HAD|2019-11-09T13:22:16.341Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
08-365915|A5032-S0-C90||0122836|APAC|2018-04-05|9999-12-31||HAD|2020-01-31T09:31:57.332Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
08-365915|A5032-S0-C90||0122836|APAC|2019-01-15|2019-07-14||HAD|2019-11-09T13:22:16.351Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
08-850952|A7010-S0-C70||0049422|APAC|2017-01-09|9999-12-31||HAD|2020-01-31T09:31:57.348Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
08-850952|A7010-S0-C70||0049422|APAC|2018-07-01|2018-12-31||HAD|2019-11-09T13:22:16.369Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
100000033131|MG00-A827-CS||0041656|APAC|2013-01-21|9999-12-31||NDC|2020-01-31T09:31:57.373Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000047280|L1913-K0-KNA||0051664|APAC|2014-07-11|2018-12-31||HAE|2020-01-31T09:31:57.439Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000047280|L1913-K0-KNA||0051664|APAC|2019-01-01|2019-03-31||HAE|2019-11-09T13:22:16.389Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
100000055623|L3001-E0-INA||0021534|APAC|2015-04-20|9999-12-31||CAM|2020-01-31T09:31:57.467Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000057900|P4135-00-ORA||0045012|APAC|2015-07-01|9999-12-31||CAE|2020-01-31T09:31:57.482Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000059025|L1834-G0-KFA||0070215|APAC|2015-08-19|2018-12-31||CAD|2020-01-31T09:31:57.491Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000062913|S4906-G0-WF2||0039739|APAC|2015-11-20|9999-12-31||CAF|2020-01-31T09:31:57.534Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000063309|S4906-H0-WF1||0122836|APAC|2015-11-20|9999-12-31||HAD|2020-01-31T09:31:57.543Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000063309|S4906-H0-WF1||0122836|APAC|2019-01-15|2019-07-14||HAD|2019-11-09T13:22:16.456Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
100000064533|MC0Q-A522||0106744|APAC|2015-12-01|2018-12-31||JAA|2020-01-31T09:31:57.561Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000067990|L7320-01-NFA||0124513|APAC|2018-06-04|9999-12-31||JAD|2020-01-31T09:31:57.594Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000068548|S301-OHX-WB5||0049422|APAC|2016-01-24|9999-12-31||HAB|2020-01-31T09:31:57.599Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000068548|S301-OHX-WB5||0049422|APAC|2019-01-01|2019-06-30||HAB|2019-11-09T13:22:16.531Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
100000068999|MD00-1867-HM||0114495|APAC|2016-02-04|2018-12-31||GAJ|2020-01-31T09:31:57.605Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000069277|L5066-00-RFG||0018625|APAC|2016-02-09|9999-12-31||GAD|2020-01-31T09:31:57.613Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000070275|L5034-00-RFG||0045012|APAC|2016-02-25|2018-12-31||GAD|2020-01-31T09:31:57.625Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000072057|L3014-00-IFA||0001056|APAC|2017-04-03|9999-12-31||LBC|2020-01-31T09:31:57.640Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000072101|S4906-H0-WN1||0122836|APAC|2016-04-21|9999-12-31||HAD|2020-01-31T09:31:57.641Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000072101|S4906-H0-WN1||0122836|APAC|2019-01-15|2019-07-14||HAD|2019-11-09T13:22:16.555Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
100000072390|L7235-F0-INA||0023561|APAC|2016-05-03|9999-12-31||HAC|2020-01-31T09:31:57.643Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000072390|L7235-F0-INA||0023561|APAC|2019-03-01|2019-05-31||HAC|2019-11-09T13:22:16.557Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
100000075225|L5146-E0-JFA||0045012|APAC|2016-06-12|9999-12-31||NGJ|2020-01-31T09:31:57.664Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000079122|S4978-H0-WF2||0049422|APAC|2016-09-07|9999-12-31||HAJ|2020-01-31T09:31:57.713Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000079122|S4978-H0-WF2||0049422|APAC|2019-01-01|2019-06-30||HAJ|2019-11-09T13:22:16.580Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
100000080076|L3409-E0-MFA||0130659|APAC|2017-01-26|2018-12-31||JAJ|2020-01-31T09:31:57.724Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000080571|L7392-F0-IFD||0042512|APAC|2016-10-03|2018-12-31||CAC|2020-01-31T09:31:57.727Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000081462|L7392-F0-IFD||0042512|APAC|2016-10-14|9999-12-31||CAC|2020-01-31T09:31:57.737Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000082191|L7392-F0-IFD||0042512|APAC|2016-10-31|9999-12-31||CAC|2020-01-31T09:31:57.747Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000082515|L5137-C0-JFA||0012223|APAC|2016-11-04|9999-12-31||NGG|2020-01-31T09:31:57.753Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000083695|L5394-C0-JFA||0030142|APAC|2016-11-22|9999-12-31||GAF|2020-01-31T09:31:57.766Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000083857|L5006-D0-JFC||0045012|APAC|2016-11-22|9999-12-31||GAR|2020-01-31T09:31:57.771Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000084135|L1839-K0-MFA||0051431|APAC|2016-11-22|2018-12-31||HAD|2020-01-31T09:31:57.778Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000084135|L1839-K0-MFA||0051431|APAC|2019-01-01|2019-03-31||HAD|2019-11-09T13:22:16.603Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
100000084630|A9687-W0-B90||0016736|APAC|2016-11-29|9999-12-31||HAI|2020-01-31T09:31:57.784Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000084630|A9687-W0-B90||0016736|APAC|2019-01-01|2019-03-31||HAI|2019-11-09T13:22:16.610Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
100000084748|A9531-AA-B90||0025595|APAC|2016-11-29|9999-12-31||HAE|2020-01-31T09:31:57.787Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000084748|A9531-AA-B90||0025595|APAC|2019-01-01|2019-03-31||HAE|2019-11-09T13:22:16.613Z|20190618010658.IF019.FULL.PDCF01D.dat|20190618010658|N
100000085972|L5006-D0-JFB||0088189|APAC|2016-12-03|9999-12-31||GAR|2020-01-31T09:31:57.802Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
100000088483|L5060-D0-JFA||0099524|APAC|2017-01-05|9999-12-31||GAC|2020-01-31T09:31:57.826Z|20200124010118.IF019.PDCF01D.dat|20200124010118|Y
